Gene names  (ordered locus )	Entry	DNA binding	Metal binding	Nucleotide binding	Site	Cross-link	Disulfide bond	Glycosylation	Lipidation	Modified residue	Peptide	Propeptide	Signal peptide	Transit peptide	Coiled coil	Domain [CC]	Domain [FT]	Motif	Region	Zinc finger
YHR128W	P18562			"NP_BIND 75..78;  /note=""GTP"";  /evidence=""ECO:0000250|UniProtKB:Q26998"""						"MOD_RES 82;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358"""									"REGION 137..145;  /note=""5-phospho-alpha-D-ribose 1-diphosphate binding"";  /evidence=""ECO:0000250|UniProtKB:Q26998""; REGION 207..209;  /note=""Uracil binding"";  /evidence=""ECO:0000250|UniProtKB:Q26998"""	
YOR191W	Q08562			"NP_BIND 969..976;  /note=""ATP"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00541"""						"MOD_RES 121;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""							"DOMAIN 956..1157;  /note=""Helicase ATP-binding"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00541""; DOMAIN 1447..1606;  /note=""Helicase C-terminal"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00542"""	"MOTIF 7..10;  /note=""SUMO interacting motif; type a 1""; MOTIF 371..378;  /note=""SUMO interacting motif; type b 1""; MOTIF 470..473;  /note=""SUMO interacting motif; type a 2""; MOTIF 543..550;  /note=""SUMO interacting motif; type b 2"""	"REGION 86..123;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 200..279;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 347..371;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 429..450;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	"ZN_FING 1330..1386;  /note=""RING-type"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00175"""
YPL139C	Q03010															DOMAIN: The NEE-box motif is required for the association to RPD3. {ECO:0000269|PubMed:12954623}.		"MOTIF 14..22;  /note=""NEE-box"""		
YDR207C	P39001	"DNA_BIND 771..798;  /note=""Zn(2)-C6 fungal-type"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00227"""								"MOD_RES 114;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 141;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 150;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 228;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 316;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 318;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 645;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""									"REGION 1..77;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 92..168;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 218..332;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 381..464;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 508..594;  /note=""SIN3-binding""; REGION 636..766;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YBR173C	P38293																		"REGION 1..35;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YHR039C-A	P48836									"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0007744|PubMed:22814378"""										
YPL007C	Q12308				"SITE 358;  /note=""Involved in the interaction with TFC6"""														"REGION 399..588;  /note=""Sufficient for SPT15-binding"""	
YOR143C	P35202									"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0007744|PubMed:22814378"""										
YAR027W	P39547					"CROSSLNK 11;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0000269|PubMed:12872131""; CROSSLNK 218;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047"""													"REGION 169..189;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YBR166C	P20049			"NP_BIND 14..43;  /note=""NADP"";  /evidence=""ECO:0000255"""													"DOMAIN 14..297;  /note=""Prephenate/arogenate dehydrogenase"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00522"""			
YEL051W	P32610																		"REGION 211..256;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YBR062C	P38239									"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0007744|PubMed:22814378"""									"REGION 1..31;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	"ZN_FING 109..153;  /note=""RING-type"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00175"""
YDR185C	Q04006																"DOMAIN 1..175;  /note=""PRELI/MSF1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00158"""			
YGL098W	P53146																			
YLL048C	P32386			"NP_BIND 729..736;  /note=""ATP 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00434""; NP_BIND 1415..1422;  /note=""ATP 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00434"""				"CARBOHYD 6;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 97;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""		"MOD_RES 936;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950""; MOD_RES 940;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 955;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""							"DOMAIN 354..662;  /note=""ABC transmembrane type-1 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; DOMAIN 694..935;  /note=""ABC transporter 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00434""; DOMAIN 1026..1345;  /note=""ABC transmembrane type-1 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; DOMAIN 1381..1636;  /note=""ABC transporter 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00434"""		"REGION 445..468;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YDR213W	Q12151	"DNA_BIND 50..80;  /note=""Zn(2)-C6 fungal-type"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00227"""								"MOD_RES 122;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 519;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""					"COILED 303..346;  /evidence=""ECO:0000255""; COILED 440..472;  /evidence=""ECO:0000255"""				"REGION 103..173;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 216..258;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 347..385;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 453..489;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 552..571;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YKL035W	P32861		"METAL 123;  /note=""Magnesium"";  /evidence=""ECO:0000305""; METAL 246;  /note=""Magnesium"";  /evidence=""ECO:0000305"""							"MOD_RES 2;  /note=""N-acetylserine"";  /evidence=""ECO:0007744|PubMed:22814378""; MOD_RES 17;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358""; MOD_RES 19;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:17287358""; MOD_RES 21;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358""; MOD_RES 79;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 369;  /note=""Omega-N-methylarginine"";  /evidence=""ECO:0000269|PubMed:23865587"""									"REGION 109..112;  /note=""UTP binding"";  /evidence=""ECO:0000250|UniProtKB:Q9M9P3""; REGION 111..112;  /note=""Substrate binding"";  /evidence=""ECO:0000250|UniProtKB:Q16851""; REGION 244..246;  /note=""Substrate binding"";  /evidence=""ECO:0000250|UniProtKB:Q16851""; REGION 448..499;  /note=""Oligomerization"""	
YFR054C	P43622																			
YFR057W	P43625																			
YHL005C	P38752																			
YHL008C	P38750									"MOD_RES 305;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 546;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 588;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:19779198"""									"REGION 512..537;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 605..627;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YCL001W-B	Q96VH2																			
YBL055C	P34220		"METAL 185;  /note=""Divalent metal cation 1"";  /evidence=""ECO:0000250""; METAL 185;  /note=""Divalent metal cation 2"";  /evidence=""ECO:0000250""; METAL 226;  /note=""Divalent metal cation 2"";  /evidence=""ECO:0000250""; METAL 277;  /note=""Divalent metal cation 2"";  /evidence=""ECO:0000250""; METAL 327;  /note=""Divalent metal cation 1"";  /evidence=""ECO:0000250"""																	
YCL021W-A	Q96VH3																			
YCL048W-A	Q2V2Q2							"CARBOHYD 25;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 30;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 35;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 40;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""	"LIPID 55;  /note=""GPI-anchor amidated glycine"";  /evidence=""ECO:0000255"""			"PROPEP 56..79;  /note=""Removed in mature form"";  /evidence=""ECO:0000255"";  /id=""PRO_0000253885"""	"SIGNAL 1..18;  /evidence=""ECO:0000255"""						"REGION 24..44;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGR072W	P48412																	"MOTIF 15..31;  /note=""Nuclear localization signal"";  /evidence=""ECO:0000255""; MOTIF 58..75;  /note=""Nuclear localization signal"";  /evidence=""ECO:0000255""; MOTIF 284..300;  /note=""Nuclear localization signal"";  /evidence=""ECO:0000255"""	"REGION 1..71;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 270..317;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 345..387;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YCR075W-A	Q3E830																			
YCR095W-A	Q3E787																			
YCR108C	Q3E819																			
YGL101W	P53144		"METAL 61;  /note=""Divalent metal cation 1; via tele nitrogen"";  /evidence=""ECO:0000269|PubMed:29752939, ECO:0007744|PDB:5YOX""; METAL 89;  /note=""Divalent metal cation 1; via tele nitrogen"";  /evidence=""ECO:0000269|PubMed:29752939, ECO:0007744|PDB:5YOX""; METAL 90;  /note=""Divalent metal cation 1"";  /evidence=""ECO:0000269|PubMed:29752939, ECO:0007744|PDB:5YOX""; METAL 93;  /note=""Divalent metal cation 2"";  /evidence=""ECO:0000250|UniProtKB:Q7Z4H3""; METAL 98;  /note=""Divalent metal cation 2"";  /evidence=""ECO:0000250|UniProtKB:Q7Z4H3""; METAL 99;  /note=""Divalent metal cation 2; via carbonyl oxygen"";  /evidence=""ECO:0000250|UniProtKB:Q7Z4H3""; METAL 159;  /note=""Divalent metal cation 1"";  /evidence=""ECO:0000269|PubMed:29752939, ECO:0007744|PDB:5YOX"""														"DOMAIN 58..164;  /note=""HD"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01175"""			
YDR319C	Q06676																			
YCR087C-A	P37263		"METAL 6;  /note=""Zinc 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01145""; METAL 9;  /note=""Zinc 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01145""; METAL 21;  /note=""Zinc 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01145""; METAL 25;  /note=""Zinc 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01145""; METAL 32;  /note=""Zinc 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01145""; METAL 35;  /note=""Zinc 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01145""; METAL 48;  /note=""Zinc 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01145""; METAL 51;  /note=""Zinc 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01145"""																"REGION 63..96;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	"ZN_FING 1..26;  /note=""C2HC LYAR-type 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01145""; ZN_FING 27..52;  /note=""C2HC LYAR-type 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01145"""
YCR024C-B	Q3E7Z8																			
YOL128C	Q12222			"NP_BIND 47..55;  /note=""ATP"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""						"MOD_RES 211;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358"""							"DOMAIN 41..329;  /note=""Protein kinase"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""			
YCL020W	P25383				"SITE 397..398;  /note=""Cleavage; by Ty2 protease"";  /evidence=""ECO:0000250"""						"PEPTIDE 398..438;  /note=""Gag-p4"";  /evidence=""ECO:0000250"";  /id=""PRO_0000279283"""					DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.			"REGION 1..88;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 295..397;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 365..397;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 419..438;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGL108C	P53139								"LIPID 2;  /note=""N-myristoyl glycine"";  /evidence=""ECO:0000255, ECO:0000269|PubMed:19416974""; LIPID 4;  /note=""S-palmitoyl cysteine"";  /evidence=""ECO:0000305|PubMed:19416974"""										"REGION 1..140;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YCL019W	P25384		"METAL 667;  /note=""Magnesium 1; catalytic; for integrase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 732;  /note=""Magnesium 1; catalytic; for integrase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1361;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1442;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1443;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1625;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1667;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1700;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457"""		"SITE 397..398;  /note=""Cleavage; by Ty2 protease"";  /evidence=""ECO:0000250""; SITE 578..579;  /note=""Cleavage; by Ty2 protease"";  /evidence=""ECO:0000250""; SITE 1232..1233;  /note=""Cleavage; by Ty2 protease"";  /evidence=""ECO:0000250"""											"DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}."	"DOMAIN 656..831;  /note=""Integrase catalytic"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; DOMAIN 1353..1491;  /note=""Reverse transcriptase Ty1/copia-type""; DOMAIN 1625..1767;  /note=""RNase H Ty1/copia-type"""	"MOTIF 1193..1227;  /note=""Bipartite nuclear localization signal"";  /evidence=""ECO:0000250"""	"REGION 1..88;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 295..397;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 355..453;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 579..636;  /note=""Integrase-type zinc finger-like""; REGION 1003..1038;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 1057..1205;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGL114W	P53134																			
YGL006W-A	Q3E802																			
YGL007C-A	Q8TGU0																			
YGL117W	P53133									"MOD_RES 223;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198"""										
YGL014C-A	P0C5N1																			
YGL118C	P53132																			
YGR035W-A	Q45U48																			
YHL017W	P38745							"CARBOHYD 152;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 253;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""		"MOD_RES 497;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""			"SIGNAL 1..20;  /evidence=""ECO:0000255"""							
YHR017W	P32792																			
YGL036W	P53185									"MOD_RES 856;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 898;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""									"REGION 746..824;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGL138C	P53122																			
YBL071C	P38185																			
YGR027W-A	Q12085				"SITE 401..402;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250"""					"MOD_RES 416;  /note=""Phosphoserine"";  /evidence=""ECO:0000250|UniProtKB:Q12441"""	"PEPTIDE 402..440;  /note=""Gag-p4"";  /evidence=""ECO:0000250"";  /id=""PRO_0000279060"""					DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.			"REGION 1..93;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 126..173;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 299..401;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 352..440;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGL140C	P53120									"MOD_RES 1167;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:15665377, ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198""; MOD_RES 1191;  /note=""Phosphotyrosine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 1198;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 1199;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198"""									"REGION 567..602;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 967..990;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 1096..1125;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGL149W	P53116												"SIGNAL 1..18;  /evidence=""ECO:0000255"""							
YGR027W-B	Q12141		"METAL 671;  /note=""Magnesium 1; catalytic; for integrase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 736;  /note=""Magnesium 1; catalytic; for integrase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1346;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1427;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1428;  /note=""Magnesium 2; catalytic; for reverse transcriptase activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1610;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1652;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; METAL 1685;  /note=""Magnesium 3; catalytic; for RNase H activity"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457"""		"SITE 401..402;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250""; SITE 582..583;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250""; SITE 1217..1218;  /note=""Cleavage; by Ty1 protease"";  /evidence=""ECO:0000250"""					"MOD_RES 416;  /note=""Phosphoserine"";  /evidence=""ECO:0000250|UniProtKB:Q99231"""						"DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}."	"DOMAIN 660..835;  /note=""Integrase catalytic"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00457""; DOMAIN 1338..1476;  /note=""Reverse transcriptase Ty1/copia-type""; DOMAIN 1610..1752;  /note=""RNase H Ty1/copia-type"""	"MOTIF 1178..1212;  /note=""Bipartite nuclear localization signal"";  /evidence=""ECO:0000250"""	"REGION 1..93;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 126..173;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 299..401;  /note=""RNA-binding"";  /evidence=""ECO:0000250""; REGION 352..421;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 583..640;  /note=""Integrase-type zinc finger-like""; REGION 956..1087;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 1092..1111;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 1130..1187;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGR121W-A	Q3E816																			
